address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Rosengartenweg 8 C, 5417 Untersiggenthal",,47.49585585,8.264444219485597,4002046816,4.5,97m²,2,1,4,1,0,0,0,0,3,1,2,1,0,0,1,1,0,0,0,0,2,1,1,1,2,1,0,0,10,1,27
"Rennweg 43, 8001 Zürich",,47.3735089,8.5390344,4002046815,4.5,97m²,186,1,528,1,161,1,45,1,193,1,28,1,2,1,27,1,0,0,9,1,41,1,51,1,62,1,0,0,42,1,1375
"Zielhagweg 28, 8240 Thayngen",,47.7520187,8.700819450000001,4002046662,4.5,97m²,2,1,2,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,13
"Südstrasse 36, 2504 Biel/Bienne",,47.1425522,7.2741055822277865,4002046472,4.5,97m²,3,1,18,1,0,0,0,0,7,1,1,1,0,0,1,1,0,0,1,1,3,1,0,0,5,1,0,0,21,1,60
"Südstrasse 33, 2504 Biel/Bienne",,47.142795,7.272640641787747,4002046471,4.5,97m²,4,1,19,1,0,0,0,0,8,1,1,1,0,0,1,1,0,0,1,1,3,1,0,0,5,1,0,0,21,1,63
"Schollstrasse 3-13, 2504 Biel/Bienne",,47.14224475,7.2730028641108495,4002046470,4.5,97m²,3,1,19,1,0,0,0,0,8,1,2,1,0,0,1,1,0,0,1,1,3,1,0,0,5,1,0,0,22,1,64
"Lothringerstrasse 51, 4056 Basel",,47.56772825,7.577835327923802,4002044165,4.5,97m²,56,1,175,1,45,1,11,1,48,1,2,1,1,1,10,1,1,1,1,1,30,1,11,1,22,1,0,0,14,1,427
"Baslerstrasse 71, 8048 Zürich",,47.3856884,8.497091985801433,4002042483,4.5,97m²,33,1,100,1,4,1,2,1,35,1,20,1,0,0,2,1,0,0,5,1,9,1,7,1,20,1,0,0,29,1,266
"St. Alban-Anlage 59/61/63, 4052 Basel",,47.55273940119511,7.60301460462026,4002042477,4.5,97m²,66,1,204,1,48,1,7,1,52,1,11,1,4,1,17,1,0,0,8,1,30,1,30,1,30,1,0,0,29,1,536
"Freilager-Platz 4, 4142 Münchenstein",,47.5323852,7.6104069,4002042476,4.5,97m²,10,1,25,1,3,1,1,1,4,1,3,1,0,0,4,1,0,0,0,0,7,1,2,1,6,1,0,0,9,1,74
"Route de la Feuillère 21, 1010 Lausanne",,46.5353324,6.652067520123083,4002042472,4.5,97m²,7,1,20,1,2,1,1,1,3,1,1,1,0,0,7,1,0,0,2,1,13,1,5,1,4,1,0,0,27,1,92
"Stauffacherstrasse 1, 6020 Emmenbrücke",,47.0743514,8.28724384455263,4002039922,4.5,97m²,8,1,35,1,5,1,1,1,10,1,1,1,0,0,0,0,0,0,0,0,2,1,5,1,13,1,0,0,47,1,127
"Zieglerweg 53, 8240 Thayngen",,47.75149385,8.70152255,4002039796,4.0,92m²,2,1,2,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,13
"Via Beltramina 10, 6900 Lugano",,46.0170708,8.957293372791668,4002038669,4.0,92m²,39,1,92,1,23,1,11,1,33,1,10,1,5,1,20,1,0,0,2,1,26,1,20,1,17,1,2,1,21,1,321
"Im Pfauenhof 10, 11, 4410 Liestal",,,,4002038662,4.0,92m²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haslenstrasse 13, 8903 Birmensdorf ZH",,47.35900115,8.45976589798729,4002038655,4.0,92m²,2,1,4,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,12
"Rte du Coteau 31, 1752 Villars-sur-Glâne",,46.7929922,7.108139749618079,4002032853,4.0,92m²,0,0,6,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,5,1,16
"Grendelbachstrasse 45, 8307 Effretikon",,47.4219013,8.6923734,4002032173,4.0,92m²,1,1,14,1,1,1,2,1,3,1,1,1,0,0,1,1,0,0,0,0,2,1,3,1,3,1,0,0,15,1,46
"Schlossstr. 5c, 4133 Pratteln",,47.5215712,7.6964005,4002031440,4.0,92m²,1,1,16,1,1,1,0,0,4,1,2,1,0,0,1,1,0,0,0,0,3,1,2,1,6,1,0,0,6,1,42
"Schlossstr. 5e, 4133 Pratteln",,47.5219526,7.6962418,4002031439,4.0,92m²,1,1,16,1,1,1,0,0,4,1,2,1,0,0,1,1,0,0,0,0,3,1,2,1,6,1,0,0,6,1,42
"Voltastrasse 2, 6005 Luzern",,47.0407079,8.307770124491716,4002030767,4.0,92m²,44,1,149,1,43,1,13,1,31,1,6,1,3,1,1,1,0,0,1,1,6,1,13,1,15,1,1,1,90,1,416
"Seestrasse 46A, 8855 Wangen",,47.19467079720146,8.892427862473681,4002021045,4.0,92m²,2,1,10,1,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,1,23
"Hammerstrasse 61, 8032 Zürich",,47.3603217,8.5630643,4002018331,4.0,92m²,40,1,100,1,8,1,3,1,20,1,9,1,0,0,3,1,0,0,5,1,15,1,8,1,15,1,0,0,15,1,241
"Zur Stahlgiesserei 3, 8200 Schaffhausen",,47.70332075,8.63034981645054,4002009503,4.0,92m²,18,1,61,1,17,1,0,0,18,1,8,1,0,0,5,1,0,0,2,1,8,1,10,1,7,1,2,1,7,1,163
"Bruggstrasse 7, 4153 Reinach BL",,47.4907529,7.5909074,4002009498,4.0,92m²,4,1,16,1,0,0,1,1,5,1,1,1,0,0,1,1,0,0,0,0,3,1,6,1,4,1,0,0,2,1,43
"Ob der Müli, 8166 Niederweningen",,47.50809897646639,8.382890724469666,4002008739,4.0,92m²,1,1,2,1,0,0,1,1,3,1,2,1,0,0,1,1,0,0,0,0,0,0,2,1,2,1,0,0,0,0,14
