property_id,rental_address,amenity_type,amenity_name,lat,lon
4001964230,"Siewerdtstrasse 75, 8050 Zürich",parking,KEBO,47.4120809,8.5556159
4001964230,"Siewerdtstrasse 75, 8050 Zürich",restaurant,Restaurant Stadiönli,47.4120998,8.5550208
4001963201,"Passage Perdonnet 1, 1005 Lausanne",fast_food,Nihao,46.5212049,6.6399286
4001963201,"Passage Perdonnet 1, 1005 Lausanne",bar,Pin-Up Bar,46.5213528,6.6399007
4001963201,"Passage Perdonnet 1, 1005 Lausanne",fast_food,Mauro Traiteur,46.521073,6.6390236
4001963201,"Passage Perdonnet 1, 1005 Lausanne",restaurant,Lucha Libre,46.521409,6.6401097
4001963201,"Passage Perdonnet 1, 1005 Lausanne",restaurant,Aki,46.5213278,6.6396421
4001963201,"Passage Perdonnet 1, 1005 Lausanne",fast_food,Marterey 56 Cuisine Vapeur,46.5211787,6.6396952
4001963201,"Passage Perdonnet 1, 1005 Lausanne",fast_food,Babouchka,46.5213633,6.6399766
4001963201,"Passage Perdonnet 1, 1005 Lausanne",restaurant,Belga,46.5215345,6.6400779
4001963201,"Passage Perdonnet 1, 1005 Lausanne",restaurant,Cut Pizza,46.5205523,6.6400467
4001963201,"Passage Perdonnet 1, 1005 Lausanne",restaurant,Maza,46.5213557,6.6398106
4001961027,"Rotwandstrasse 66, 8004 Zürich",restaurant,Ristorante Italia,47.3763729,8.5292946
4001961027,"Rotwandstrasse 66, 8004 Zürich",restaurant,Trübli Bar,47.3765636,8.5290029
4001961027,"Rotwandstrasse 66, 8004 Zürich",restaurant,Convivio,47.3757244,8.5292515
4001961027,"Rotwandstrasse 66, 8004 Zürich",restaurant,Accademia del Gusto,47.375334,8.5286575
4001961027,"Rotwandstrasse 66, 8004 Zürich",bar,E.X. 4,47.3757372,8.5288666
4001961027,"Rotwandstrasse 66, 8004 Zürich",bar,Daniel H.,47.3754267,8.5293032
4001961027,"Rotwandstrasse 66, 8004 Zürich",restaurant,Osteria Santo Bevitore,47.3754803,8.5284806
4001961027,"Rotwandstrasse 66, 8004 Zürich",bar,Love Story,47.3764724,8.5284217
