property_id,rental_address,amenity_type,amenity_name,lat,lon
4002053939,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,così Ristorante & Pizzeria,47.2047969,7.5370633
4002053939,"Niklaus Konrad-Strasse 4, 4500 Solothurn",atm,n/a,47.2042566,7.5387939
4002053939,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Solo Fresh & fast Crispy Chicken,47.2041652,7.5388339
4002053939,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Mezami,47.2046585,7.5376996
4002039822,"Seeblickstr. 12, 9010 St. Gallen",parking,n/a,47.4380156,9.3765338
4002039822,"Seeblickstr. 12, 9010 St. Gallen",parking,n/a,47.4395953,9.3809115
4002039822,"Seeblickstr. 12, 9010 St. Gallen",parking,n/a,47.4394536,9.3806368
4002039822,"Seeblickstr. 12, 9010 St. Gallen",parking,n/a,47.439389,9.3805741
4002033013,"Bellerivestrasse 49, 8008 Zürich",parking,Parkhaus Zürichhorn,47.3557489,8.5531163
4002033013,"Bellerivestrasse 49, 8008 Zürich",cafe,Maison 33,47.3572728,8.5526229
4002033013,"Bellerivestrasse 49, 8008 Zürich",restaurant,Weera Pura,47.3571792,8.5531184
4002028634,"Ludwigstr. 5, 9010 St. Gallen",parking,n/a,47.4380156,9.3765338
4001979018,"Via Sasso Corbaro 19, 6593 Cadenazzo",pharmacy,Pharmacia Centrale,46.1517314,8.9461626
4001979018,"Via Sasso Corbaro 19, 6593 Cadenazzo",bank,Raiffeisen,46.1518588,8.9452132
4001979018,"Via Sasso Corbaro 19, 6593 Cadenazzo",pub,Leilo Bar,46.1516511,8.9458343
4001979018,"Via Sasso Corbaro 19, 6593 Cadenazzo",library,Biblioteca della Scuola Media di Cadenazzo,46.1510167,8.9418564
4001979018,"Via Sasso Corbaro 19, 6593 Cadenazzo",restaurant,Pizzeria Bar CLUB,46.1507227,8.9431726
4001923522,"Erlenmattstr. 67, 4058 Basel",pharmacy,Coop Vitality,47.5697544,7.6036227
4001923522,"Erlenmattstr. 67, 4058 Basel",restaurant,Matt & Elly Brewery & Kitchen,47.56969,7.6034296
4002064944,"Zentralstrasse 7, 5627 Besenbüren",restaurant,Frohsinn,47.3131055,8.3416721
4002064922,"Zentralstrasse 7, 5627 Besenbüren",restaurant,Frohsinn,47.3131055,8.3416721
4002064878,"Zentralstrasse 7, 5627 Besenbüren",restaurant,Frohsinn,47.3131055,8.3416721
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",atm,UBS,47.2048431,7.5407604
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",fast_food,Efem Imbiss & Café,47.2046306,7.5405994
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",cafe,Vorstadt Bistro,47.2048838,7.5408996
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",pharmacy,Medbase Apotheke Solothurn,47.2051064,7.5405056
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",restaurant,Akropolis,47.2048882,7.5389356
4002053937,"Niklaus Konrad-Strasse 4, 4500 Solothurn",fast_food,Solo Imbiss,47.2048779,7.5368448
