price,area,food_beverage_count,education_count,healthcare_count,financial_services_count,transportation_count
2880,115.0,35,1,3,3,5
2880,115.0,22,4,2,2,0
2880,115.0,2,0,1,0,1
2880,115.0,2,0,1,1,3
2880,115.0,2,0,0,0,1
2880,115.0,5,0,0,0,5
2880,115.0,8,3,0,0,0
2880,115.0,38,2,1,3,2
2880,115.0,6,1,2,1,1
2880,115.0,5,1,0,0,1
2880,115.0,2,0,0,1,0
2880,115.0,7,2,1,1,0
2880,115.0,38,2,1,3,2
2880,115.0,1,0,0,0,6
2880,115.0,32,2,3,2,2
2880,115.0,3,0,0,0,6
7980,260.0,15,0,0,1,1
7980,260.0,2,0,0,0,1
7980,260.0,7,2,1,1,0
7980,260.0,0,1,0,0,0
7980,260.0,20,3,2,1,0
7980,260.0,8,0,1,2,10
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,2,0,0,0,0
7980,260.0,38,2,1,3,2
7980,260.0,22,4,2,8,0
7980,260.0,14,1,1,2,4
7980,260.0,12,0,3,4,2
7980,260.0,2,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,2,0,0,0,0
7980,260.0,1,0,1,2,1
6700,170.0,6,2,0,2,0
6700,170.0,5,0,0,0,2
6700,170.0,1,0,0,1,0
6700,170.0,48,12,0,3,0
6700,170.0,6,0,0,0,1
6700,170.0,4,0,0,1,0
6700,170.0,17,3,0,3,1
6700,170.0,21,2,2,2,1
6700,170.0,4,0,0,2,0
6700,170.0,45,5,4,8,4
6700,170.0,16,1,1,2,3
6700,170.0,6,1,2,5,2
6700,170.0,17,0,2,7,2
6700,170.0,1,2,0,0,2
6700,170.0,4,1,2,1,0
6700,170.0,48,12,0,3,0
6700,170.0,2,0,0,1,1
6700,170.0,2,1,0,0,2
6700,170.0,3,0,0,1,0
2750,33.0,11,2,1,1,5
2750,33.0,70,8,0,4,2
2750,33.0,164,1,7,4,7
2750,33.0,2,0,2,2,1
2750,33.0,0,0,0,0,2
2750,33.0,1,0,0,0,2
2750,33.0,3,0,0,1,1
2750,33.0,17,2,2,9,11
2750,33.0,16,1,2,9,9
2750,33.0,0,0,0,1,10
2750,33.0,28,0,1,4,7
2750,33.0,6,0,0,1,9
2750,33.0,7,2,0,0,3
2750,33.0,7,0,0,0,0
2750,33.0,0,1,0,0,1
2750,33.0,1,0,0,0,0
2750,33.0,3,0,0,3,2
2750,33.0,58,3,5,6,9
2750,33.0,31,4,4,5,2
2750,33.0,17,3,0,3,1
3300,170.0,17,3,0,3,1
3300,170.0,8,0,4,4,1
3300,170.0,19,1,2,3,46
3300,170.0,6,0,1,4,17
3300,170.0,1,0,0,0,0
3300,170.0,48,12,0,3,0
3300,170.0,27,0,4,3,1
3300,170.0,164,1,7,4,7
3300,170.0,3,0,0,1,22
3300,170.0,9,1,4,3,1
3300,170.0,72,1,3,5,0
3300,170.0,20,1,2,8,1
3300,170.0,6,0,1,2,1
3300,170.0,1,1,0,0,1
3300,170.0,32,2,2,2,3
3300,170.0,5,0,3,2,1
3300,170.0,1,0,0,0,0
3300,170.0,1,0,0,0,0
3710,300.0,9,1,1,1,2
3710,300.0,17,0,2,2,5
3710,300.0,5,0,1,0,1
3710,300.0,2,1,0,1,0
3710,300.0,0,0,0,0,1
3710,300.0,1,0,0,0,2
3710,300.0,164,1,7,4,7
3710,300.0,7,6,1,4,3
3710,300.0,40,3,1,2,3
3710,300.0,17,2,3,6,7
3710,300.0,34,5,3,1,3
3710,300.0,4,1,1,1,0
3710,300.0,2,0,0,2,0
3710,300.0,5,0,2,1,6
3710,300.0,22,2,2,3,2
3710,300.0,24,3,0,1,1
4340,121.0,24,3,0,1,1
4340,121.0,2,2,0,0,4
4340,121.0,6,1,1,0,16
4340,121.0,3,1,0,1,0
4340,121.0,16,4,0,1,12
4340,121.0,2,0,0,0,0
4340,121.0,20,1,2,0,2
4340,121.0,27,0,2,2,2
4340,121.0,2,1,0,1,0
4340,121.0,25,2,4,1,3
4340,121.0,18,2,2,4,27
4340,121.0,164,1,7,4,7
4340,121.0,164,1,7,4,7
4340,121.0,4,1,1,2,27
4340,121.0,13,0,4,5,12
4340,121.0,6,0,2,3,4
4340,121.0,10,2,0,4,15
4340,121.0,3,0,0,1,1
3250,150.0,0,1,0,0,4
3250,150.0,16,4,0,1,12
3250,150.0,3,0,1,3,0
