price,area,cafe_count,restaurant_count,bar_count,pub_count,fast_food_count,school_count,university_count,library_count,hospital_count,clinic_count,pharmacy_count,bank_count,atm_count,bus_station_count,parking_count
2880,115.0,34,113,35,10,34,2,0,2,0,0,16,5,14,0,10
2880,115.0,20,55,10,7,16,3,1,3,0,0,6,1,4,0,7
2880,115.0,3,22,1,0,3,1,0,0,0,0,3,0,2,0,6
2880,115.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2880,115.0,6,7,5,1,6,3,0,1,0,2,2,4,2,0,7
2880,115.0,4,12,2,0,1,0,0,0,0,2,3,1,1,0,14
2880,115.0,44,91,5,2,61,13,1,5,0,2,11,2,17,0,7
2880,115.0,19,58,16,8,21,2,0,3,0,0,3,9,9,0,4
2880,115.0,3,6,2,1,2,1,0,0,0,0,2,1,1,0,4
2880,115.0,2,12,1,0,4,1,0,1,0,0,2,0,3,0,3
2880,115.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2880,115.0,1,3,2,1,1,0,0,2,0,0,1,1,0,0,0
2880,115.0,19,58,16,8,21,2,0,3,0,0,3,9,9,0,4
2880,115.0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,8
2880,115.0,19,62,5,2,5,3,0,2,0,2,6,4,6,0,7
2880,115.0,3,2,0,0,2,0,0,2,0,0,0,0,1,0,8
7980,260.0,33,113,39,10,20,5,0,1,0,1,4,10,8,0,50
7980,260.0,8,24,5,1,8,2,0,2,0,1,3,3,5,0,43
7980,260.0,1,3,2,1,1,0,0,2,0,0,1,1,0,0,0
7980,260.0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0
7980,260.0,25,61,12,7,18,3,1,3,0,0,7,1,6,0,9
7980,260.0,1,6,0,1,0,0,0,0,0,0,1,1,1,0,8
7980,260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,260.0,6,21,1,0,9,3,0,5,0,0,5,0,3,0,7
7980,260.0,6,22,1,0,9,3,0,5,0,0,5,0,4,0,7
7980,260.0,19,58,16,8,21,2,0,3,0,0,3,9,9,0,4
7980,260.0,4,16,1,0,2,1,0,3,0,0,2,4,5,0,0
7980,260.0,1,9,0,0,3,0,0,1,0,0,1,0,4,0,4
7980,260.0,1,13,0,0,5,0,0,1,0,0,3,2,2,0,4
7980,260.0,6,22,1,0,9,3,0,5,0,0,5,0,4,0,7
7980,260.0,6,21,1,0,9,3,0,5,0,0,5,0,3,0,7
7980,260.0,7,25,1,0,5,0,0,0,0,0,3,0,3,0,6
7980,260.0,6,22,1,0,9,3,0,5,0,0,5,0,4,0,7
7980,260.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
6700,170.0,0,19,0,1,2,2,0,2,0,0,2,1,3,0,12
6700,170.0,94,339,52,16,58,4,1,10,0,3,35,30,21,0,20
6700,170.0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
6700,170.0,77,172,33,19,83,11,2,20,0,5,14,18,31,0,15
6700,170.0,2,2,0,0,0,0,0,1,0,0,0,1,2,0,1
6700,170.0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,2
6700,170.0,0,4,0,0,0,0,0,1,0,0,1,1,0,0,0
6700,170.0,2,14,2,0,1,2,0,2,0,0,0,0,1,0,1
6700,170.0,2,14,0,2,1,1,0,1,0,1,1,1,2,0,1
6700,170.0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1
6700,170.0,16,54,2,1,27,12,0,1,0,1,5,6,11,0,15
6700,170.0,2,11,1,0,1,0,0,1,0,0,1,0,2,0,3
6700,170.0,0,4,0,0,2,1,0,0,0,0,2,4,1,0,2
6700,170.0,8,22,2,1,12,1,0,2,0,1,3,3,13,0,15
6700,170.0,5,18,1,1,6,7,0,1,0,0,4,0,2,0,4
