price,area,food_beverage_count,education_count,healthcare_count,financial_services_count,transportation_count
2880,115.0,26,1,2,1,5
2880,115.0,7,1,1,0,0
2880,115.0,3,0,1,0,1
2880,115.0,0,0,0,0,1
2880,115.0,3,0,0,0,2
2880,115.0,1,0,0,0,2
2880,115.0,15,5,0,1,0
2880,115.0,39,1,1,3,1
2880,115.0,5,0,0,0,0
2880,115.0,2,0,0,1,0
2880,115.0,4,1,1,1,0
2880,115.0,39,1,1,3,1
2880,115.0,1,0,0,0,5
2880,115.0,15,2,1,1,1
2880,115.0,1,0,0,0,5
7980,260.0,6,0,0,1,0
7980,260.0,2,1,0,0,3
7980,260.0,4,1,1,1,0
7980,260.0,6,0,1,0,0
7980,260.0,2,0,0,0,1
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,2,0,1,1,0
7980,260.0,4,0,1,1,0
7980,260.0,39,1,1,3,1
7980,260.0,10,2,1,7,0
7980,260.0,8,0,1,2,3
7980,260.0,1,0,0,0,0
7980,260.0,4,0,1,1,0
7980,260.0,2,0,1,1,0
7980,260.0,3,0,1,0,1
7980,260.0,4,0,1,1,0
7980,260.0,1,0,1,2,0
6700,170.0,1,0,0,0,1
6700,170.0,48,1,2,3,3
6700,170.0,1,0,0,1,0
6700,170.0,46,6,1,2,0
6700,170.0,6,0,0,0,1
6700,170.0,1,0,0,0,0
6700,170.0,1,0,0,0,0
6700,170.0,13,2,1,2,1
6700,170.0,1,0,0,0,0
6700,170.0,31,1,4,5,3
6700,170.0,2,0,0,1,1
6700,170.0,4,1,2,5,1
6700,170.0,2,0,0,0,0
6700,170.0,0,0,0,0,1
6700,170.0,2,0,1,1,0
6700,170.0,46,6,1,2,0
6700,170.0,2,0,0,1,1
6700,170.0,0,1,0,0,0
6700,170.0,1,0,0,1,0
2750,33.0,7,0,0,1,3
2750,33.0,53,3,0,4,1
2750,33.0,166,1,7,7,4
2750,33.0,1,0,1,2,0
2750,33.0,0,0,0,0,1
2750,33.0,2,0,0,0,0
2750,33.0,9,1,2,4,4
2750,33.0,8,1,1,4,4
2750,33.0,0,0,0,0,8
2750,33.0,7,0,0,1,3
2750,33.0,1,0,0,0,5
2750,33.0,5,2,0,0,0
2750,33.0,1,0,0,0,0
2750,33.0,0,1,0,0,0
2750,33.0,2,0,0,0,0
2750,33.0,32,1,1,0,2
2750,33.0,5,0,0,0,0
2750,33.0,1,0,0,0,0
3300,170.0,1,0,0,0,0
3300,170.0,0,0,0,0,1
3300,170.0,6,1,2,1,2
3300,170.0,1,0,0,0,1
3300,170.0,1,0,0,0,0
3300,170.0,46,6,1,2,0
3300,170.0,14,0,2,1,0
3300,170.0,166,1,7,7,4
3300,170.0,0,0,0,1,9
3300,170.0,7,0,2,3,0
3300,170.0,76,3,4,6,0
3300,170.0,4,0,0,3,0
3300,170.0,5,1,1,0,1
3300,170.0,22,2,1,2,1
3300,170.0,2,0,3,2,0
3300,170.0,1,0,0,0,0
3710,300.0,1,0,0,0,0
3710,300.0,2,0,0,0,0
3710,300.0,2,0,0,1,0
3710,300.0,0,1,0,0,1
3710,300.0,0,0,0,0,2
3710,300.0,166,1,7,7,4
3710,300.0,0,1,0,0,2
3710,300.0,13,1,1,1,1
3710,300.0,10,0,1,3,3
3710,300.0,16,1,2,0,3
3710,300.0,2,0,1,1,0
3710,300.0,0,0,0,0,6
3710,300.0,13,1,2,1,2
3710,300.0,5,2,0,0,1
4340,121.0,5,2,0,0,1
4340,121.0,1,1,0,0,1
4340,121.0,1,1,0,0,5
4340,121.0,2,0,0,0,0
4340,121.0,8,2,0,0,6
4340,121.0,9,0,1,0,1
4340,121.0,25,0,2,0,0
4340,121.0,2,0,0,1,0
4340,121.0,14,2,3,1,2
4340,121.0,4,0,1,2,8
4340,121.0,166,1,7,7,4
4340,121.0,166,1,7,7,4
4340,121.0,1,0,1,1,6
4340,121.0,4,0,1,3,2
4340,121.0,0,0,0,0,1
4340,121.0,6,0,0,2,8
4340,121.0,2,0,0,1,1
3250,150.0,0,1,0,0,4
3250,150.0,8,2,0,0,6
3250,150.0,5,1,3,2,0
3250,150.0,3,1,0,0,0
3250,150.0,3,1,1,3,0
3250,150.0,1,0,0,0,2
3250,150.0,164,3,3,8,0
3250,150.0,1,0,0,2,1
3250,150.0,62,5,2,3,1
3250,150.0,2,0,0,0,0
3250,150.0,55,3,8,18,11
3250,150.0,8,2,0,0,6
3250,150.0,4,2,0,0,2
3250,150.0,1,0,0,0,1
3250,150.0,26,2,3,0,0
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,119,0,11,16,2
5950,150.0,7,1,2,3,1
5950,150.0,3,1,1,2,1
5950,150.0,0,1,0,2,1
5950,150.0,0,0,0,0,1
5950,150.0,0,0,0,0,1
5950,150.0,0,0,0,0,1
5950,150.0,0,1,0,2,1
5950,150.0,4,0,1,2,0
5950,150.0,0,0,1,1,1
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
2280,81.0,5,0,1,2,0
2280,81.0,2,0,1,1,0
2280,81.0,2,0,1,1,0
2280,81.0,1,0,0,0,0
2280,81.0,2,3,0,0,0
2280,81.0,28,2,2,0,0
2280,81.0,2,1,0,0,0
2280,81.0,1,0,0,0,1
2280,81.0,9,1,1,6,7
2280,81.0,5,0,2,4,0
2280,81.0,4,0,0,1,0
2280,81.0,0,0,0,0,1
2280,81.0,1,0,0,0,1
2280,81.0,0,0,0,0,2
2280,81.0,21,0,1,5,0
2280,81.0,3,0,0,0,1
2280,81.0,1,0,0,0,1
3480,117.0,8,0,0,0,1
3480,117.0,8,0,0,0,1
3480,117.0,11,1,1,0,1
3480,117.0,2,0,1,1,0
3480,117.0,2,0,1,1,0
3480,117.0,2,0,1,1,0
3480,117.0,11,1,2,3,6
3480,117.0,2,0,0,1,1
3480,117.0,30,3,7,12,3
3480,117.0,9,0,2,6,1
3480,117.0,1,0,0,0,0
3480,117.0,1,0,0,0,0
3480,117.0,30,3,7,12,3
3480,117.0,3,0,0,1,0
3480,117.0,2,0,0,1,0
2490,108.0,4,1,0,2,0
2490,108.0,2,0,1,1,0
2490,108.0,1,0,0,1,1
2490,108.0,1,1,0,0,0
2490,108.0,0,0,0,0,1
2490,108.0,0,0,0,0,1
2490,108.0,1,2,0,1,0
2490,108.0,1,0,0,1,0
2490,108.0,0,0,0,0,2
2490,108.0,33,2,6,10,1
2490,108.0,6,0,0,1,0
2490,108.0,4,0,1,2,0
2490,108.0,14,2,1,5,3
3590,170.0,22,0,3,4,3
3590,170.0,78,9,5,12,0
3590,170.0,4,0,0,0,2
3590,170.0,11,0,1,1,2
3590,170.0,5,0,0,0,0
3590,170.0,0,0,0,0,1
3590,170.0,3,0,1,0,0
3590,170.0,5,0,0,0,0
3590,170.0,2,0,1,0,0
3590,170.0,1,0,0,0,4
3590,170.0,9,2,0,1,4
3590,170.0,33,2,6,10,1
3590,170.0,1,0,0,0,2
3590,170.0,1,0,0,0,0
3590,170.0,5,1,1,1,0
2030,140.0,3,0,1,0,1
2030,140.0,1,1,0,1,2
2030,140.0,2,0,0,2,0
2030,140.0,6,1,0,0,3
2030,140.0,10,1,1,0,0
2030,140.0,4,0,1,2,0
2030,140.0,6,0,1,2,0
2030,140.0,5,1,1,1,0
2030,140.0,10,1,1,0,0
2030,140.0,2,0,0,1,0
2030,140.0,3,0,4,3,0
2030,140.0,7,1,2,2,1
