price,area,food_beverage_present,education_present,healthcare_present,financial_services_present,transportation_present
2240,110.0,3,1,1,0,0
2240,110.0,1,0,1,0,0
2240,110.0,0,1,0,0,0
2240,110.0,1,0,0,0,0
2240,110.0,1,0,0,0,1
2240,110.0,1,0,0,0,0
2240,110.0,3,0,1,0,0
2240,110.0,5,0,0,1,0
2240,110.0,1,0,0,0,0
2140,81.0,1,0,0,0,0
2140,81.0,1,0,0,0,0
2140,81.0,1,0,0,0,0
2140,81.0,0,0,0,0,1
2140,81.0,0,0,0,0,1
2140,81.0,2,0,0,1,0
2140,81.0,3,0,1,1,1
2140,81.0,1,0,0,0,0
2140,81.0,0,0,0,0,1
2140,81.0,1,0,0,1,0
2490,120.0,4,0,1,1,0
2490,120.0,2,0,0,1,0
2490,120.0,1,1,1,0,0
2490,120.0,2,0,1,0,1
2490,120.0,2,1,0,1,0
2490,120.0,0,0,0,0,1
2490,120.0,0,0,0,1,1
2490,120.0,3,0,1,0,0
2490,120.0,2,0,1,0,0
1690,49.0,3,1,1,0,0
1690,49.0,1,0,0,0,0
1690,49.0,1,0,0,0,0
1690,49.0,0,0,0,0,1
1690,49.0,0,0,0,0,1
1690,49.0,1,0,0,0,1
1690,49.0,1,0,0,0,1
1690,49.0,1,0,0,0,0
1690,49.0,0,0,0,0,1
1690,49.0,5,0,1,2,0
4760,170.0,1,0,0,1,0
4760,170.0,1,0,0,0,0
4760,170.0,0,0,1,0,1
4760,170.0,0,0,1,0,1
4760,170.0,3,0,0,0,0
4760,170.0,0,0,1,0,1
4760,170.0,0,0,0,0,1
4760,170.0,2,0,0,0,0
4760,170.0,1,0,0,0,0
4760,170.0,3,0,0,0,0
4760,170.0,3,1,1,0,1
4760,170.0,3,0,0,1,0
4760,170.0,3,2,1,0,0
4760,170.0,2,1,1,1,1
2110,97.0,0,0,0,0,1
2110,97.0,1,0,0,0,0
2110,97.0,1,0,1,0,0
2110,97.0,1,1,0,0,0
2110,97.0,5,0,1,2,0
2110,97.0,1,0,1,1,1
2110,97.0,2,0,1,1,1
2110,97.0,1,0,1,1,1
2110,97.0,1,0,0,0,0
2110,97.0,0,0,0,1,0
2110,97.0,0,0,0,1,0
2110,97.0,0,1,0,0,0
2110,97.0,0,0,0,0,1
2110,97.0,2,0,1,1,0
1750,92.0,4,1,1,0,0
1750,92.0,0,0,0,0,1
1750,92.0,0,0,0,0,1
1750,92.0,1,0,1,0,1
1750,92.0,3,0,0,0,1
1750,92.0,2,0,0,0,0
1750,92.0,3,0,0,0,0
1750,92.0,1,0,0,0,1
1750,92.0,1,0,0,0,0
1750,92.0,1,0,0,0,0
1750,92.0,0,1,0,0,0
1750,92.0,1,0,0,0,0
2540,124.0,1,0,0,1,0
2540,124.0,1,0,0,0,0
2540,124.0,4,0,1,0,0
2540,124.0,2,0,1,2,0
2540,124.0,5,1,1,2,1
2540,124.0,1,0,0,0,0
2540,124.0,1,0,0,0,0
2540,124.0,2,0,0,0,0
4480,150.0,0,1,0,0,0
4480,150.0,0,0,0,0,1
4480,150.0,1,0,0,0,0
4480,150.0,1,0,0,0,0
4480,150.0,1,0,0,0,1
4480,150.0,1,1,0,1,1
4480,150.0,0,1,0,0,1
4480,150.0,2,0,0,1,1
4480,150.0,1,0,0,0,0
4480,150.0,3,0,2,2,1
4480,150.0,3,0,2,2,1
4480,150.0,1,0,0,0,1
4480,150.0,0,0,0,0,1
4480,150.0,3,0,1,1,0
4480,150.0,1,0,0,0,0
4480,150.0,1,0,0,0,0
4480,150.0,1,0,0,0,0
3590,102.0,0,0,0,0,1
3590,102.0,3,0,2,0,0
3590,102.0,2,0,0,0,0
3590,102.0,0,0,0,0,1
3590,102.0,2,0,0,1,0
3590,102.0,5,0,0,0,0
3590,102.0,0,0,0,0,1
3590,102.0,0,0,0,0,1
3590,102.0,2,0,0,0,0
3590,102.0,2,0,0,0,0
3590,102.0,2,1,0,0,1
3590,102.0,2,0,0,0,1
3590,102.0,0,0,1,2,0
3590,102.0,3,0,0,0,0
3590,102.0,2,0,1,2,0
4060,140.0,0,0,1,0,0
4060,140.0,1,0,0,0,1
4060,140.0,1,0,0,1,0
4060,140.0,1,0,0,0,0
4060,140.0,0,1,0,0,0
4060,140.0,2,1,1,0,0
4060,140.0,0,1,0,0,0
4060,140.0,0,1,0,0,0
4060,140.0,0,1,0,0,0
4060,140.0,1,1,0,2,1
2210,93.0,4,0,1,1,0
2210,93.0,1,1,0,0,1
2210,93.0,1,2,0,0,0
2210,93.0,1,0,0,0,0
2210,93.0,4,0,1,0,0
2210,93.0,2,0,0,0,1
2210,93.0,5,0,0,1,1
2210,93.0,1,0,0,0,0
2210,93.0,0,0,1,0,0
2210,93.0,4,0,0,0,0
2610,38.0,3,0,0,0,0
2610,38.0,4,1,0,0,1
2610,38.0,2,1,1,0,0
2610,38.0,1,0,0,0,0
2610,38.0,0,0,0,0,1
2610,38.0,2,0,0,0,0
2610,38.0,1,0,0,0,0
2610,38.0,1,1,1,1,1
2610,38.0,3,0,2,2,1
2610,38.0,2,0,0,0,0
