price,area,food_beverage_count,education_count,healthcare_count,financial_services_count,transportation_count
2880,115.0,226,4,16,19,10
2880,115.0,108,7,6,5,7
2880,115.0,29,1,3,2,6
2880,115.0,1,0,0,1,1
2880,115.0,25,4,4,6,7
2880,115.0,19,0,5,2,14
2880,115.0,203,19,13,19,7
2880,115.0,122,5,3,18,4
2880,115.0,14,1,2,2,4
2880,115.0,19,2,2,3,3
2880,115.0,2,0,0,1,0
2880,115.0,8,2,1,1,0
2880,115.0,122,5,3,18,4
2880,115.0,4,1,0,1,8
2880,115.0,93,5,8,10,7
2880,115.0,7,2,0,1,8
7980,260.0,215,6,5,18,50
7980,260.0,46,4,4,8,43
7980,260.0,8,2,1,1,0
7980,260.0,4,2,1,0,0
7980,260.0,123,7,7,7,9
7980,260.0,8,0,1,2,8
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,37,8,5,3,7
7980,260.0,38,8,5,4,7
7980,260.0,122,5,3,18,4
7980,260.0,23,4,2,9,0
7980,260.0,13,1,1,4,4
7980,260.0,19,1,3,4,4
7980,260.0,38,8,5,4,7
7980,260.0,37,8,5,3,7
7980,260.0,38,0,3,3,6
7980,260.0,38,8,5,4,7
7980,260.0,1,0,1,2,1
6700,170.0,22,4,2,4,12
6700,170.0,559,15,38,51,20
6700,170.0,2,0,0,1,0
6700,170.0,384,33,19,49,15
6700,170.0,4,1,0,3,1
6700,170.0,6,1,0,0,2
6700,170.0,4,1,1,1,0
6700,170.0,19,4,0,1,1
6700,170.0,19,2,2,3,1
6700,170.0,4,0,0,2,1
6700,170.0,100,13,6,17,15
6700,170.0,15,1,1,2,3
6700,170.0,6,1,2,5,2
6700,170.0,45,3,4,16,15
6700,170.0,31,8,4,2,4
6700,170.0,6,1,2,2,0
6700,170.0,384,33,19,49,15
6700,170.0,2,2,0,1,1
6700,170.0,23,4,5,3,9
6700,170.0,1,0,0,1,0
2750,33.0,136,18,11,21,31
2750,33.0,325,13,17,38,14
2750,33.0,715,15,31,63,29
2750,33.0,30,3,6,4,3
2750,33.0,0,0,0,0,3
2750,33.0,16,5,4,2,4
2750,33.0,13,1,1,2,1
2750,33.0,17,2,2,9,10
2750,33.0,17,2,2,9,10
2750,33.0,3,0,0,1,24
2750,33.0,57,0,3,11,8
2750,33.0,7,1,0,1,10
2750,33.0,7,2,1,1,10
2750,33.0,4,0,0,0,0
2750,33.0,0,1,0,0,1
2750,33.0,1,0,0,0,0
2750,33.0,10,4,4,4,6
2750,33.0,222,14,23,16,26
2750,33.0,83,9,14,16,8
2750,33.0,19,4,0,1,1
3300,170.0,19,4,0,1,1
3300,170.0,10,0,4,3,2
3300,170.0,24,2,3,4,47
3300,170.0,6,0,0,2,17
3300,170.0,14,4,2,0,6
3300,170.0,384,33,19,49,15
3300,170.0,174,17,15,12,3
3300,170.0,715,15,31,63,29
3300,170.0,3,0,0,1,24
3300,170.0,22,5,4,5,7
3300,170.0,424,17,13,28,10
3300,170.0,103,11,11,26,9
3300,170.0,9,0,2,4,2
3300,170.0,255,9,12,31,13
3300,170.0,125,8,13,17,6
3300,170.0,19,1,4,3,4
3300,170.0,2,0,0,0,1
3300,170.0,1,0,0,0,1
3710,300.0,5,1,1,2,3
3710,300.0,32,1,3,4,10
3710,300.0,10,0,1,3,5
3710,300.0,2,1,0,1,0
3710,300.0,0,0,0,3,0
3710,300.0,8,1,0,0,2
3710,300.0,1,0,0,0,6
3710,300.0,715,15,31,63,29
3710,300.0,1,2,0,0,2
3710,300.0,117,10,9,8,7
3710,300.0,17,2,3,6,7
3710,300.0,324,27,19,35,14
3710,300.0,4,1,0,0,2
3710,300.0,4,1,1,1,0
3710,300.0,2,0,0,2,0
3710,300.0,18,5,7,3,15
3710,300.0,73,14,13,15,10
3710,300.0,144,18,13,16,30
4340,121.0,144,18,13,16,30
4340,121.0,2,2,0,0,6
4340,121.0,6,2,1,0,16
4340,121.0,3,1,0,2,0
4340,121.0,128,10,11,23,33
4340,121.0,39,3,4,1,2
4340,121.0,103,3,11,12,10
4340,121.0,22,1,2,8,7
4340,121.0,2,1,0,1,0
4340,121.0,157,12,24,14,9
4340,121.0,27,3,3,7,91
4340,121.0,715,15,31,63,29
4340,121.0,715,15,31,63,29
4340,121.0,7,2,1,2,27
4340,121.0,17,1,4,5,13
4340,121.0,7,0,2,3,8
4340,121.0,12,4,1,7,40
4340,121.0,34,1,4,7,2
3250,150.0,0,1,0,0,4
3250,150.0,128,10,11,23,33
3250,150.0,12,0,4,8,2
3250,150.0,6,3,2,2,9
3250,150.0,10,2,3,2,6
3250,150.0,92,4,2,14,5
3250,150.0,3,1,1,3,1
3250,150.0,23,5,4,12,6
3250,150.0,646,16,32,53,27
3250,150.0,17,0,4,5,12
3250,150.0,1,0,0,0,2
3250,150.0,473,18,38,40,19
3250,150.0,35,8,6,5,5
3250,150.0,153,15,13,24,42
3250,150.0,16,0,2,2,2
3250,150.0,128,10,11,23,33
3250,150.0,58,9,4,7,13
3250,150.0,6,2,1,2,3
3250,150.0,263,16,16,17,12
5950,150.0,23,1,2,9,7
5950,150.0,23,1,2,9,7
5950,150.0,23,1,2,9,7
5950,150.0,23,1,2,9,7
