price,area,food_beverage_count,education_count,healthcare_count,financial_services_count,transportation_count
2880,115.0,40,1,2,3,5
2880,115.0,17,2,1,0,0
2880,115.0,3,0,1,0,1
2880,115.0,0,0,0,0,1
2880,115.0,3,0,0,0,2
2880,115.0,1,0,0,0,4
2880,115.0,20,6,2,1,1
2880,115.0,77,1,2,5,1
2880,115.0,6,0,0,0,0
2880,115.0,2,0,0,1,0
2880,115.0,7,1,1,1,0
2880,115.0,77,1,2,5,1
2880,115.0,1,0,0,0,5
2880,115.0,17,2,1,2,1
2880,115.0,1,0,0,0,5
7980,260.0,6,0,0,1,1
7980,260.0,3,1,0,0,5
7980,260.0,7,1,1,1,0
7980,260.0,20,3,1,0,0
7980,260.0,6,0,1,2,3
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,8,0,2,1,2
7980,260.0,8,0,2,1,2
7980,260.0,77,1,2,5,1
7980,260.0,13,2,2,7,0
7980,260.0,8,0,1,2,3
7980,260.0,1,0,1,0,0
7980,260.0,8,0,2,1,2
7980,260.0,8,0,2,1,2
7980,260.0,4,0,1,0,1
7980,260.0,8,0,2,1,2
7980,260.0,1,0,1,2,1
6700,170.0,1,0,0,0,3
6700,170.0,80,1,2,3,3
6700,170.0,1,0,0,1,0
6700,170.0,51,8,1,1,1
6700,170.0,1,0,0,0,0
6700,170.0,6,1,0,0,2
6700,170.0,1,0,0,0,0
6700,170.0,2,0,0,0,0
6700,170.0,13,2,1,2,1
6700,170.0,2,0,0,2,0
6700,170.0,43,5,4,9,3
6700,170.0,1,0,0,1,1
6700,170.0,5,1,2,5,2
6700,170.0,2,0,0,0,0
6700,170.0,0,0,0,0,1
6700,170.0,3,0,1,1,0
6700,170.0,51,8,1,1,1
6700,170.0,2,0,0,1,1
6700,170.0,2,1,0,0,2
6700,170.0,1,0,0,1,0
2750,33.0,13,1,0,1,5
2750,33.0,68,5,0,5,1
2750,33.0,208,3,8,8,5
2750,33.0,4,0,2,2,0
2750,33.0,0,0,0,0,1
2750,33.0,0,0,0,0,1
2750,33.0,2,0,0,1,0
2750,33.0,9,1,2,4,4
2750,33.0,9,1,2,4,5
2750,33.0,0,0,0,1,11
2750,33.0,16,0,0,1,3
2750,33.0,3,0,0,1,6
2750,33.0,5,2,0,0,0
2750,33.0,1,0,0,0,0
2750,33.0,0,1,0,0,0
2750,33.0,2,0,0,0,0
2750,33.0,36,2,1,1,3
2750,33.0,8,0,1,0,0
2750,33.0,2,0,0,0,0
3300,170.0,2,0,0,0,0
3300,170.0,0,0,0,0,1
3300,170.0,10,1,2,3,2
3300,170.0,1,0,0,0,6
3300,170.0,1,0,0,0,0
3300,170.0,51,8,1,1,1
3300,170.0,15,0,2,0,0
3300,170.0,208,3,8,8,5
3300,170.0,0,0,0,1,9
3300,170.0,9,0,4,3,1
3300,170.0,77,3,5,5,0
3300,170.0,9,0,0,2,0
3300,170.0,15,1,2,3,1
3300,170.0,24,2,1,2,2
3300,170.0,4,0,3,2,0
3300,170.0,1,0,0,0,0
3300,170.0,1,0,0,0,0
3710,300.0,1,0,0,0,1
3710,300.0,9,0,1,3,1
3710,300.0,2,1,0,1,0
3710,300.0,0,0,0,1,0
3710,300.0,0,1,0,0,1
3710,300.0,208,3,8,8,5
3710,300.0,0,1,0,0,2
3710,300.0,16,1,1,1,1
3710,300.0,10,0,1,3,3
3710,300.0,16,0,2,0,2
3710,300.0,2,0,1,1,0
3710,300.0,2,1,1,0,6
3710,300.0,12,1,2,1,1
3710,300.0,22,2,2,1,3
4340,121.0,22,2,2,1,3
4340,121.0,1,1,0,0,1
4340,121.0,4,1,0,0,9
4340,121.0,2,0,0,0,0
4340,121.0,9,3,0,1,8
4340,121.0,9,0,1,0,1
4340,121.0,27,0,2,0,0
4340,121.0,2,1,0,1,0
4340,121.0,16,2,3,1,3
4340,121.0,5,0,1,2,20
4340,121.0,208,3,8,8,5
4340,121.0,208,3,8,8,5
4340,121.0,1,1,1,1,7
4340,121.0,6,0,2,3,4
4340,121.0,0,0,0,0,1
4340,121.0,6,0,0,2,9
4340,121.0,4,0,0,1,1
3250,150.0,0,1,0,0,4
3250,150.0,9,3,0,1,8
3250,150.0,5,2,2,2,0
3250,150.0,3,1,0,0,0
3250,150.0,3,1,1,3,0
3250,150.0,1,0,0,0,2
3250,150.0,200,4,3,9,1
3250,150.0,3,0,1,2,2
3250,150.0,72,5,2,4,1
3250,150.0,3,0,0,0,3
3250,150.0,52,4,6,18,13
3250,150.0,9,3,0,1,8
3250,150.0,8,2,0,0,2
3250,150.0,1,0,0,0,1
3250,150.0,27,3,4,0,1
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
5950,150.0,144,0,14,20,4
5950,150.0,7,1,2,3,2
5950,150.0,3,1,1,2,1
5950,150.0,0,1,0,2,1
5950,150.0,0,0,0,0,1
5950,150.0,0,0,0,0,1
5950,150.0,0,0,0,0,1
5950,150.0,0,1,0,2,1
5950,150.0,4,0,1,2,0
5950,150.0,1,0,1,1,1
5950,150.0,1,0,0,0,0
5950,150.0,1,0,0,0,0
2280,81.0,6,0,1,2,0
2280,81.0,5,0,2,3,2
2280,81.0,2,0,1,1,0
2280,81.0,0,0,0,0,1
2280,81.0,1,0,0,0,0
2280,81.0,2,3,0,0,0
2280,81.0,32,2,2,0,0
2280,81.0,6,1,1,0,0
