price,area,food_beverage_count,education_count,healthcare_count,financial_services_count,transportation_count
2880,115.0,390,19,31,38,21
2880,115.0,429,21,37,56,47
2880,115.0,253,27,23,36,42
2880,115.0,81,9,5,8,63
2880,115.0,40,5,3,13,15
2880,115.0,48,7,7,7,30
2880,115.0,125,20,18,26,48
2880,115.0,409,42,26,33,23
2880,115.0,215,10,6,40,30
2880,115.0,90,11,6,6,42
2880,115.0,67,5,5,9,22
2880,115.0,51,5,3,7,7
2880,115.0,24,2,3,3,6
2880,115.0,215,10,6,40,30
2880,115.0,275,22,14,40,62
2880,115.0,295,23,26,50,21
2880,115.0,278,22,14,44,61
7980,260.0,348,12,15,39,198
7980,260.0,147,13,12,34,130
7980,260.0,24,2,3,3,6
7980,260.0,45,5,17,8,12
7980,260.0,404,19,35,53,44
7980,260.0,71,8,11,21,62
7980,260.0,23,1,0,6,11
7980,260.0,23,1,0,6,11
7980,260.0,23,1,0,6,11
7980,260.0,209,23,18,27,38
7980,260.0,216,23,16,30,40
7980,260.0,215,10,6,40,30
7980,260.0,141,12,10,22,19
7980,260.0,196,19,15,33,53
7980,260.0,73,8,9,14,20
7980,260.0,216,23,16,30,40
7980,260.0,209,23,18,27,38
7980,260.0,249,23,21,29,44
7980,260.0,216,23,16,30,40
7980,260.0,11,1,2,3,21
6700,170.0,343,37,29,49,74
6700,170.0,595,18,40,44,25
6700,170.0,63,7,3,14,14
6700,170.0,648,53,47,74,33
6700,170.0,12,1,0,3,3
6700,170.0,28,6,3,6,4
6700,170.0,34,9,5,11,18
6700,170.0,86,12,7,26,9
6700,170.0,50,4,3,6,9
6700,170.0,56,8,3,11,19
6700,170.0,232,25,18,34,39
6700,170.0,81,10,8,24,23
6700,170.0,46,8,7,15,14
6700,170.0,207,16,20,42,195
6700,170.0,131,32,10,14,16
6700,170.0,23,4,6,4,0
6700,170.0,648,53,47,74,33
6700,170.0,16,2,0,9,8
6700,170.0,92,11,12,9,17
6700,170.0,44,4,3,10,16
2750,33.0,286,32,24,43,74
2750,33.0,490,35,44,60,46
2750,33.0,1087,41,55,109,45
2750,33.0,173,24,24,28,28
2750,33.0,30,4,2,2,15
2750,33.0,112,28,9,12,14
2750,33.0,169,17,15,22,21
2750,33.0,75,8,10,27,50
2750,33.0,73,8,8,24,49
2750,33.0,11,2,0,2,28
2750,33.0,130,4,8,21,46
2750,33.0,39,3,4,8,92
2750,33.0,17,3,3,2,13
2750,33.0,23,6,2,13,12
2750,33.0,36,5,3,10,14
2750,33.0,10,3,1,5,5
2750,33.0,86,12,15,23,19
2750,33.0,562,42,53,50,75
2750,33.0,289,36,38,54,20
2750,33.0,86,12,7,26,9
3300,170.0,86,12,7,26,9
3300,170.0,71,8,11,18,52
3300,170.0,178,7,9,18,176
3300,170.0,69,2,4,15,32
3300,170.0,125,13,12,17,11
3300,170.0,648,53,47,74,33
3300,170.0,426,36,51,64,29
3300,170.0,1087,41,55,109,45
3300,170.0,25,2,1,5,28
3300,170.0,170,16,12,14,24
