price,area,cafe_count,restaurant_count,bar_count,pub_count,fast_food_count,school_count,university_count,library_count,hospital_count,clinic_count,pharmacy_count,bank_count,atm_count,bus_station_count,parking_count
2880,115.0,7,29,8,2,11,0,0,1,0,0,4,0,3,0,5
2880,115.0,3,14,3,2,2,1,0,2,0,0,1,0,1,0,0
2880,115.0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,2
2880,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2880,115.0,2,2,1,0,0,1,0,0,0,1,1,1,0,0,3
2880,115.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
2880,115.0,4,19,0,0,6,7,0,1,0,0,2,1,0,0,1
2880,115.0,17,46,12,7,19,2,0,1,0,0,2,4,6,0,1
2880,115.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2880,115.0,1,6,1,0,2,0,0,0,0,0,0,0,1,0,2
2880,115.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2880,115.0,0,3,2,1,1,0,0,2,0,0,1,1,0,0,0
2880,115.0,17,46,12,7,19,2,0,1,0,0,2,4,6,0,1
2880,115.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2880,115.0,7,23,2,1,1,1,0,1,0,0,2,0,2,0,2
2880,115.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
7980,260.0,3,10,3,2,4,0,0,0,0,0,0,2,0,0,17
7980,260.0,4,7,1,0,2,1,0,1,0,0,2,1,1,0,13
7980,260.0,0,3,2,1,1,0,0,2,0,0,1,1,0,0,0
7980,260.0,4,16,3,2,2,1,0,2,0,0,2,0,1,0,0
7980,260.0,1,4,0,1,0,0,0,0,0,0,1,1,1,0,4
7980,260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,260.0,2,9,1,0,1,0,0,1,0,0,2,0,1,0,3
7980,260.0,2,9,1,0,1,0,0,0,0,0,2,0,1,0,3
7980,260.0,17,46,12,7,19,2,0,1,0,0,2,4,6,0,1
7980,260.0,4,11,1,0,2,1,0,3,0,0,2,2,5,0,0
7980,260.0,1,6,0,0,1,0,0,0,0,0,1,0,2,0,4
7980,260.0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
7980,260.0,2,9,1,0,1,0,0,0,0,0,2,0,1,0,3
7980,260.0,2,9,1,0,1,0,0,1,0,0,2,0,1,0,3
7980,260.0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1
7980,260.0,2,9,1,0,1,0,0,0,0,0,2,0,1,0,3
7980,260.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
6700,170.0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3
6700,170.0,25,68,16,1,8,0,0,2,0,0,6,8,1,0,5
6700,170.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6700,170.0,17,42,1,1,18,6,0,6,0,0,3,1,4,0,2
6700,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6700,170.0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,2
6700,170.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6700,170.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6700,170.0,2,11,0,2,1,1,0,1,0,1,1,1,1,0,1
6700,170.0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0
6700,170.0,10,27,1,1,19,6,0,1,0,0,4,3,6,0,5
6700,170.0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1
6700,170.0,0,4,0,0,2,1,0,0,0,0,2,4,1,0,2
6700,170.0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,1
6700,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6700,170.0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0
6700,170.0,17,42,1,1,18,6,0,6,0,0,3,1,4,0,2
6700,170.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
6700,170.0,0,3,0,0,3,0,0,1,0,0,0,2,0,0,2
6700,170.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2750,33.0,4,13,0,0,3,2,2,1,0,0,0,0,1,0,10
2750,33.0,8,61,12,9,13,1,1,4,0,0,1,3,4,0,1
2750,33.0,31,119,68,14,42,6,0,3,0,3,10,1,10,0,14
2750,33.0,3,3,1,0,1,0,0,0,0,0,2,1,1,0,1
2750,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2750,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2750,33.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2750,33.0,1,6,1,0,4,0,0,1,0,0,2,2,4,0,6
2750,33.0,1,6,1,0,3,0,0,1,0,0,2,2,2,0,6
2750,33.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
2750,33.0,6,8,3,0,10,0,0,0,0,0,2,4,4,0,4
2750,33.0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,8
2750,33.0,0,3,1,0,1,1,0,1,0,0,0,0,0,0,2
2750,33.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2750,33.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2750,33.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2750,33.0,7,44,1,0,4,1,1,3,0,1,4,3,1,0,4
2750,33.0,5,13,0,2,1,2,0,1,0,0,2,1,2,0,0
2750,33.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,170.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,170.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
3300,170.0,3,7,2,0,3,0,0,1,0,0,2,3,1,0,3
3300,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
3300,170.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,170.0,17,42,1,1,18,6,0,6,0,0,3,1,4,0,2
3300,170.0,3,15,1,0,3,0,0,0,0,0,3,0,1,0,1
3300,170.0,31,119,68,14,42,6,0,3,0,3,10,1,10,0,14
3300,170.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
3300,170.0,0,7,0,0,2,1,0,1,0,0,4,2,1,0,1
3300,170.0,17,62,22,4,17,5,0,0,0,1,4,1,5,0,0
3300,170.0,0,10,1,0,1,0,0,0,0,0,0,3,0,0,1
3300,170.0,2,21,3,0,0,0,0,1,0,0,4,2,1,0,3
3300,170.0,10,24,2,1,0,1,0,1,0,1,1,0,2,0,3
3300,170.0,2,2,0,0,0,0,0,0,0,2,1,0,2,0,1
3300,170.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3710,300.0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,2
3710,300.0,0,9,0,0,0,0,0,0,0,0,1,1,2,0,3
3710,300.0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
3710,300.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3710,300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3710,300.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3710,300.0,31,119,68,14,42,6,0,3,0,3,10,1,10,0,14
3710,300.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
3710,300.0,6,9,0,0,5,1,0,0,0,0,1,0,1,0,2
3710,300.0,4,6,1,0,0,0,0,0,0,0,1,3,1,0,3
