price,area,cafe_count,restaurant_count,bar_count,pub_count,fast_food_count,school_count,university_count,library_count,hospital_count,clinic_count,pharmacy_count,bank_count,atm_count,bus_station_count,parking_count
2880,115.0,28,118,40,12,39,0,0,3,1,0,18,5,15,0,10
2880,115.0,35,108,30,10,34,3,1,5,0,0,13,4,18,0,17
2880,115.0,11,44,4,0,18,5,1,2,0,2,8,6,7,0,16
2880,115.0,4,10,0,2,0,1,0,0,0,1,0,3,1,0,14
2880,115.0,2,15,1,0,2,0,0,1,0,0,1,2,4,0,7
2880,115.0,9,13,6,1,8,3,0,1,0,2,3,4,2,0,7
2880,115.0,5,24,2,0,5,3,0,4,0,3,6,2,2,0,29
2880,115.0,26,63,1,1,21,12,0,11,0,0,6,2,7,0,4
2880,115.0,24,90,17,8,25,3,0,4,0,0,4,13,14,0,11
2880,115.0,3,15,2,1,7,7,0,0,0,0,2,1,1,0,25
2880,115.0,4,14,1,0,5,1,0,1,0,0,2,0,3,0,4
2880,115.0,0,10,0,1,0,0,0,1,0,1,0,0,1,0,3
2880,115.0,3,7,2,1,1,0,0,2,0,0,3,2,1,0,1
2880,115.0,24,90,17,8,25,3,0,4,0,0,4,13,14,0,11
2880,115.0,18,61,29,4,16,4,0,6,0,3,3,6,9,1,37
2880,115.0,34,85,9,3,21,6,0,2,0,4,12,7,6,0,8
2880,115.0,19,61,25,4,18,5,0,7,0,3,4,7,9,1,42
7980,260.0,34,103,38,9,18,4,1,1,0,0,5,7,9,0,110
7980,260.0,14,41,5,1,17,4,0,2,0,2,4,3,13,0,59
7980,260.0,3,7,2,1,1,0,0,2,0,0,3,2,1,0,1
7980,260.0,3,5,0,1,0,0,2,0,0,0,2,0,0,0,0
7980,260.0,29,96,27,7,30,3,1,5,0,0,12,3,15,0,16
7980,260.0,6,27,3,3,4,3,0,2,0,2,6,9,6,0,42
7980,260.0,0,7,1,0,0,1,0,0,0,0,0,1,2,0,3
7980,260.0,0,7,1,0,0,1,0,0,0,0,0,1,2,0,3
7980,260.0,0,7,1,0,0,1,0,0,0,0,0,1,2,0,3
7980,260.0,9,44,3,0,15,4,0,1,0,2,7,7,8,0,9
7980,260.0,9,45,2,0,15,4,0,2,0,2,8,7,8,0,9
7980,260.0,24,90,17,8,25,3,0,4,0,0,4,13,14,0,11
7980,260.0,8,38,5,1,9,1,0,4,0,0,3,5,9,0,9
7980,260.0,20,55,16,0,22,2,2,3,0,1,7,2,11,0,23
7980,260.0,2,12,0,0,5,1,0,1,0,0,3,2,2,0,6
7980,260.0,9,45,2,0,15,4,0,2,0,2,8,7,8,0,9
7980,260.0,9,44,3,0,15,4,0,1,0,2,7,7,8,0,9
7980,260.0,11,45,3,0,18,5,1,1,0,2,8,7,8,0,15
7980,260.0,9,45,2,0,15,4,0,2,0,2,8,7,8,0,9
7980,260.0,2,2,0,0,0,0,0,0,0,1,0,1,2,0,5
6700,170.0,12,68,6,3,22,7,0,5,0,1,11,9,12,0,20
6700,170.0,26,115,14,5,25,2,1,3,0,2,14,9,6,0,11
6700,170.0,0,5,1,0,1,1,0,1,0,0,0,0,3,0,5
6700,170.0,57,115,13,7,54,16,1,18,0,3,13,4,20,0,13
6700,170.0,3,4,0,0,0,0,0,1,0,0,0,1,2,0,1
6700,170.0,2,12,0,0,0,4,0,0,0,0,0,2,1,0,2
6700,170.0,1,9,0,1,0,2,0,1,0,0,4,5,4,0,6
6700,170.0,7,47,8,1,4,9,0,3,0,0,4,7,9,1,3
6700,170.0,3,31,0,2,2,2,0,2,0,2,1,2,2,0,4
6700,170.0,1,8,0,0,3,1,0,1,0,0,2,2,2,0,2
6700,170.0,23,77,2,2,33,17,0,1,0,2,6,6,13,0,22
6700,170.0,9,36,6,1,6,1,0,2,0,3,5,6,11,0,14
6700,170.0,3,13,3,0,5,3,0,1,0,0,5,4,3,0,6
6700,170.0,11,47,5,1,21,3,0,3,0,1,5,5,17,0,60
6700,170.0,11,18,1,1,6,7,0,1,0,0,4,0,2,0,8
6700,170.0,2,5,4,0,1,0,0,2,0,2,3,2,1,0,0
6700,170.0,57,115,13,7,54,16,1,18,0,3,13,4,20,0,13
6700,170.0,1,5,0,0,0,2,0,0,0,0,0,1,3,0,6
6700,170.0,2,18,2,0,8,1,2,2,0,1,4,2,3,0,9
6700,170.0,2,13,1,0,2,2,0,1,0,0,1,1,2,0,8
2750,33.0,21,99,17,4,32,15,2,4,0,3,12,9,18,0,38
2750,33.0,34,161,34,20,59,4,1,10,0,1,19,13,22,0,23
2750,33.0,94,339,124,31,120,13,0,5,0,5,29,37,34,0,29
2750,33.0,15,36,2,1,5,3,0,0,0,2,10,5,7,0,7
