price,area,cafe_present,restaurant_present,bar_present,pub_present,fast_food_present,school_present,university_present,library_present,hospital_present,clinic_present,pharmacy_present,bank_present,atm_present,bus_station_present,parking_present
2490,120.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1690,49.0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1690,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1690,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1690,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,49.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1690,49.0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0
1690,49.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
4760,170.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4760,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4760,170.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4760,170.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4760,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4760,170.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
4760,170.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4760,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4760,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4760,170.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4760,170.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4760,170.0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1
4760,170.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
4760,170.0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
4760,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4760,170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4760,170.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2110,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2110,97.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,97.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2110,97.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2110,97.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
2110,97.0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
2110,97.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
2110,97.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
2110,97.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
2110,97.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
2110,97.0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1
2110,97.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2110,97.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2110,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2110,97.0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
1750,92.0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1750,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1750,92.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1750,92.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1750,92.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1750,92.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1750,92.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1750,92.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1750,92.0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1
1750,92.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1750,92.0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
1750,92.0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0
2540,124.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2540,124.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2540,124.0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0
2540,124.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2540,124.0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
