price,area,cafe_count,restaurant_count,bar_count,pub_count,fast_food_count,school_count,university_count,library_count,hospital_count,clinic_count,pharmacy_count,bank_count,atm_count,bus_station_count,parking_count
2880,115.0,14,38,17,5,15,0,0,1,0,0,4,0,5,0,5
2880,115.0,14,42,8,3,11,3,1,2,0,0,4,1,7,0,7
2880,115.0,2,15,0,0,2,1,0,0,0,0,2,0,0,0,2
2880,115.0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,5
2880,115.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2880,115.0,3,1,0,0,2,1,0,1,0,0,0,0,1,0,4
2880,115.0,4,14,2,0,3,1,0,1,0,1,5,1,2,0,13
2880,115.0,10,31,0,1,15,7,0,2,0,0,3,1,0,0,1
2880,115.0,15,55,9,5,20,2,0,3,0,0,3,8,11,0,5
2880,115.0,3,7,1,1,2,1,0,0,0,0,2,1,1,0,11
2880,115.0,2,12,2,0,4,1,0,1,0,0,2,0,2,0,3
2880,115.0,0,5,0,1,0,0,0,0,0,1,0,0,1,0,2
2880,115.0,3,5,2,1,1,0,0,2,0,0,3,2,1,0,0
2880,115.0,15,55,9,5,20,2,0,3,0,0,3,8,11,0,5
2880,115.0,3,9,4,0,3,0,0,2,0,1,0,0,2,0,15
2880,115.0,20,55,6,3,4,4,0,2,0,2,4,2,3,0,6
2880,115.0,7,16,10,1,3,0,0,2,0,1,0,2,2,0,13
7980,260.0,18,49,15,5,8,1,0,0,0,0,1,4,2,0,34
7980,260.0,7,18,4,1,7,2,0,2,0,1,3,3,5,0,35
7980,260.0,3,5,2,1,1,0,0,2,0,0,3,2,1,0,0
7980,260.0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0
7980,260.0,12,38,7,4,13,3,1,2,0,0,4,1,4,0,5
7980,260.0,3,15,1,1,0,1,0,0,0,0,1,2,1,0,29
7980,260.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
