price,area,food_beverage_count,education_count,healthcare_count,financial_services_count,transportation_count
2880,115.0,87,1,6,3,5
2880,115.0,29,3,2,2,0
2880,115.0,10,0,1,0,3
2880,115.0,1,0,0,1,1
2880,115.0,18,4,3,6,6
2880,115.0,5,0,1,0,5
2880,115.0,67,10,2,1,3
2880,115.0,106,3,3,16,3
2880,115.0,5,1,2,1,2
2880,115.0,17,2,2,3,3
2880,115.0,2,0,0,1,0
2880,115.0,7,2,1,1,0
2880,115.0,106,3,3,16,3
2880,115.0,2,0,0,0,6
2880,115.0,54,3,3,2,4
2880,115.0,3,0,0,0,7
7980,260.0,106,0,3,7,30
7980,260.0,32,4,4,7,19
7980,260.0,7,2,1,1,0
7980,260.0,0,1,0,0,0
7980,260.0,25,3,1,2,0
7980,260.0,6,0,1,2,3
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,1,0,0,0,0
7980,260.0,20,2,4,2,4
7980,260.0,20,2,4,2,4
7980,260.0,106,3,3,16,3
7980,260.0,22,4,2,8,0
7980,260.0,9,0,1,2,4
7980,260.0,13,1,3,4,2
7980,260.0,20,2,4,2,4
7980,260.0,20,2,4,2,4
7980,260.0,9,0,1,0,3
7980,260.0,20,2,4,2,4
7980,260.0,1,0,1,2,1
6700,170.0,10,3,0,0,7
6700,170.0,239,6,14,26,8
6700,170.0,1,0,0,1,0
6700,170.0,220,23,11,22,3
6700,170.0,1,0,0,0,0
6700,170.0,6,1,0,0,1
6700,170.0,3,0,0,1,0
6700,170.0,3,0,0,0,0
6700,170.0,18,2,2,3,1
6700,170.0,4,0,0,2,0
6700,170.0,67,11,5,11,11
6700,170.0,12,0,1,2,3
6700,170.0,6,1,2,5,2
6700,170.0,28,0,2,8,1
6700,170.0,8,3,2,0,1
6700,170.0,6,1,2,2,0
6700,170.0,220,23,11,22,3
6700,170.0,2,2,0,1,1
6700,170.0,11,1,1,3,2
6700,170.0,1,0,0,1,0
2750,33.0,40,8,3,2,13
2750,33.0,180,7,4,25,6
