price,area,food_beverage_count,education_count,healthcare_count,financial_services_count,transportation_count
2880,115.0,89,1,4,5,5
2880,115.0,78,6,4,8,7
2880,115.0,19,1,2,0,2
2880,115.0,4,0,1,1,5
2880,115.0,0,0,0,1,0
2880,115.0,6,2,0,1,4
2880,115.0,23,2,6,3,13
2880,115.0,57,9,3,1,1
2880,115.0,104,5,3,19,5
2880,115.0,14,1,2,2,11
2880,115.0,20,2,2,2,3
2880,115.0,6,0,1,1,2
2880,115.0,12,2,3,3,0
2880,115.0,104,5,3,19,5
2880,115.0,19,2,1,2,15
2880,115.0,88,6,6,5,6
2880,115.0,37,2,1,4,13
7980,260.0,95,1,1,6,34
7980,260.0,37,4,4,8,35
7980,260.0,12,2,3,3,0
7980,260.0,4,2,1,0,0
7980,260.0,74,6,4,5,5
7980,260.0,20,1,1,3,29
7980,260.0,2,1,0,0,1
7980,260.0,2,1,0,0,1
7980,260.0,2,1,0,0,1
7980,260.0,14,1,4,2,2
7980,260.0,15,1,4,2,2
7980,260.0,104,5,3,19,5
7980,260.0,38,4,2,11,0
7980,260.0,37,1,5,6,11
7980,260.0,16,1,3,4,3
7980,260.0,15,1,4,2,2
7980,260.0,14,1,4,2,2
7980,260.0,18,1,2,0,2
7980,260.0,15,1,4,2,2
7980,260.0,3,0,1,2,2
6700,170.0,27,5,4,6,6
6700,170.0,57,0,2,4,4
6700,170.0,3,0,0,1,1
6700,170.0,103,23,5,9,4
6700,170.0,4,1,0,3,0
6700,170.0,7,2,0,1,2
6700,170.0,4,2,1,4,0
6700,170.0,37,6,3,12,1
6700,170.0,31,4,2,4,3
6700,170.0,6,0,0,2,1
6700,170.0,90,10,6,15,14
6700,170.0,39,2,4,8,11
6700,170.0,8,2,3,6,3
6700,170.0,49,3,5,19,7
6700,170.0,7,3,2,1,5
6700,170.0,9,2,4,3,0
6700,170.0,103,23,5,9,4
6700,170.0,3,2,0,2,3
6700,170.0,11,1,3,3,2
6700,170.0,9,2,1,2,3
2750,33.0,88,8,4,11,22
2750,33.0,171,10,8,20,8
2750,33.0,412,9,15,16,17
2750,33.0,25,1,4,4,2
2750,33.0,4,1,0,0,3
2750,33.0,4,3,2,1,4
2750,33.0,12,2,1,1,2
2750,33.0,18,2,2,9,13
2750,33.0,18,2,2,9,13
2750,33.0,3,0,0,1,23
2750,33.0,48,0,3,10,17
2750,33.0,9,1,0,1,10
2750,33.0,9,2,1,1,10
2750,33.0,7,1,0,1,4
2750,33.0,5,1,0,0,1
2750,33.0,2,0,0,1,3
2750,33.0,9,2,4,4,7
2750,33.0,196,14,15,16,27
2750,33.0,60,6,7,11,6
2750,33.0,37,6,3,12,1
3300,170.0,37,6,3,12,1
3300,170.0,17,2,4,4,3
3300,170.0,31,2,4,7,52
3300,170.0,31,1,2,7,23
3300,170.0,8,0,1,0,1
3300,170.0,103,23,5,9,4
3300,170.0,85,7,15,12,2
3300,170.0,412,9,15,16,17
3300,170.0,5,0,0,1,25
3300,170.0,18,3,4,3,7
3300,170.0,227,10,7,12,3
3300,170.0,48,7,10,21,17
3300,170.0,12,1,2,4,2
3300,170.0,52,1,5,4,7
3300,170.0,85,6,7,7,6
3300,170.0,15,1,6,3,2
3300,170.0,2,0,0,0,0
3300,170.0,13,2,1,4,17
3710,300.0,25,4,5,11,10
3710,300.0,32,1,4,5,17
3710,300.0,7,0,1,2,2
3710,300.0,2,1,0,1,0
3710,300.0,1,0,0,4,0
3710,300.0,6,1,0,0,2
3710,300.0,3,0,0,0,5
3710,300.0,412,9,15,16,17
3710,300.0,11,7,1,4,7
3710,300.0,98,11,8,8,5
3710,300.0,29,4,4,7,8
3710,300.0,144,23,15,24,10
3710,300.0,8,2,0,1,3
3710,300.0,11,1,3,6,2
3710,300.0,1,0,0,2,1
3710,300.0,19,2,6,3,9
3710,300.0,52,11,10,9,7
3710,300.0,74,12,4,6,21
4340,121.0,74,12,4,6,21
4340,121.0,3,2,0,0,9
4340,121.0,27,5,4,5,20
4340,121.0,8,1,0,3,0
4340,121.0,77,9,3,6,26
4340,121.0,7,0,0,1,0
4340,121.0,35,4,4,1,2
4340,121.0,85,2,9,9,3
4340,121.0,25,1,2,8,7
4340,121.0,2,1,0,1,0
4340,121.0,151,9,22,13,9
4340,121.0,32,3,3,7,94
4340,121.0,412,9,15,16,17
4340,121.0,412,9,15,16,17
4340,121.0,20,2,1,4,39
4340,121.0,37,4,5,6,21
4340,121.0,13,0,2,4,6
4340,121.0,15,4,1,7,44
4340,121.0,29,1,3,6,1
3250,150.0,2,2,0,2,7
3250,150.0,77,9,3,6,26
3250,150.0,6,0,3,5,2
3250,150.0,11,3,1,0,2
3250,150.0,15,3,3,2,6
3250,150.0,140,5,4,24,13
3250,150.0,4,1,1,3,1
3250,150.0,55,10,9,26,11
3250,150.0,434,11,19,27,17
3250,150.0,26,1,4,7,15
3250,150.0,7,0,0,0,3
3250,150.0,222,13,15,20,11
3250,150.0,17,4,6,5,5
3250,150.0,59,9,7,6,25
3250,150.0,29,3,2,4,3
3250,150.0,77,9,3,6,26
3250,150.0,41,4,4,5,11
3250,150.0,24,5,5,11,9
3250,150.0,141,13,13,10,7
5950,150.0,29,1,2,9,8
5950,150.0,29,1,2,9,8
5950,150.0,29,1,2,9,8
5950,150.0,29,1,2,9,8
5950,150.0,29,1,2,9,8
5950,150.0,29,1,2,9,8
5950,150.0,283,3,16,27,12
5950,150.0,4,4,2,5,4
5950,150.0,18,3,2,3,9
5950,150.0,32,3,5,3,5
5950,150.0,27,1,2,8,3
5950,150.0,14,1,3,3,5
5950,150.0,14,1,3,3,5
5950,150.0,14,1,3,3,5
5950,150.0,27,1,2,8,3
5950,150.0,16,0,1,6,5
5950,150.0,4,2,1,2,4
5950,150.0,4,0,2,1,1
5950,150.0,4,0,2,1,1
2280,81.0,13,1,4,5,2
2280,81.0,11,1,3,5,12
2280,81.0,15,1,2,3,4
2280,81.0,17,1,3,3,5
2280,81.0,4,0,0,1,6
2280,81.0,14,4,2,4,17
2280,81.0,27,8,6,8,7
2280,81.0,190,5,12,20,13
2280,81.0,20,3,3,2,3
2280,81.0,1,0,1,1,2
2280,81.0,34,4,2,16,42
2280,81.0,8,1,3,4,0
2280,81.0,21,2,1,7,4
2280,81.0,11,1,2,7,6
2280,81.0,24,5,5,11,9
2280,81.0,5,2,5,3,7
2280,81.0,56,1,2,7,1
2280,81.0,15,1,0,3,2
2280,81.0,1,0,1,1,2
3480,117.0,4,0,0,1,6
3480,117.0,120,4,11,20,29
3480,117.0,120,4,11,20,29
3480,117.0,126,5,12,24,30
3480,117.0,2,0,1,2,1
3480,117.0,2,0,1,2,1
3480,117.0,2,0,1,2,1
3480,117.0,60,11,3,7,27
3480,117.0,39,4,8,12,8
3480,117.0,5,0,1,3,6
3480,117.0,80,7,11,23,5
3480,117.0,21,1,4,8,7
3480,117.0,2,1,1,0,0
3480,117.0,3,0,0,0,0
3480,117.0,4,0,2,1,1
3480,117.0,80,7,11,23,5
3480,117.0,2,1,1,0,0
3480,117.0,54,4,3,13,18
3480,117.0,5,0,0,1,0
2490,108.0,11,1,0,3,1
2490,108.0,2,0,1,2,1
2490,108.0,9,1,1,1,0
2490,108.0,9,0,0,2,4
2490,108.0,37,4,4,8,6
2490,108.0,7,1,1,0,1
2490,108.0,2,1,1,0,0
2490,108.0,4,1,0,2,0
2490,108.0,7,1,1,0,1
2490,108.0,25,4,7,3,5
2490,108.0,25,0,3,8,3
2490,108.0,13,3,1,4,4
2490,108.0,4,2,1,2,3
