address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Grossfeldstrasse 7, 6010 Kriens",3300,47.0332402,8.283929931561875,4002045481,4.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sonneggstr. 41, 8006 Zürich",3300,47.380462,8.545837108916057,4001983884,4.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Weiherweg 38, 4054 Basel",3300,47.5537867,7.5761886,4001979979,4.5,170.0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6
"Rotwandstrasse 66, 8004 Zürich",3300,47.3758876,8.5294158,4001950379,4.5,170.0,0,0,8,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Motorenstrasse, 8005 Zürich",3300,47.38434396427632,8.528439931722138,4002078840,4.5,170.0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Seefeldstrasse 104, 8008 Zürich",3300,47.35929725,8.5526727,4002064667,4.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
"Dorfstrasse 31, 5244 Birrhard",3300,47.4331612,8.2458127,4002055225,4.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3780 Gstaad,3710,46.4761004,7.2873587,4001987343,8.5,300.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Dorfstrasse 14, 4206 Seewen SO",3710,47.435012,7.656622998231198,4001978241,8.5,300.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rotwandstrasse 66, 8004 Zürich",3710,47.3758876,8.5294158,4001915132,8.5,300.0,0,0,8,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Dorfgasse 4, 8708 Männedorf",3710,47.2552406,8.688731842874493,4001867060,8.5,300.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Hottingerstrasse 38, 8032 Zürich",3710,47.36939095,8.553576490910046,4002081565,8.5,300.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Chemin du Devin 47B, 1012 Lausanne",3710,46.5316201,6.6519271,4002071005,8.5,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5
"Rütistrasse 4, 8032 Zürich",3710,47.3685518,8.56076049670398,4002069592,8.5,300.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,5
"Aentenschnabel, 8353 Elgg",4340,47.4988302645021,8.863680082276126,4002038535,4.5,121.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Maurerweg 12, 2503 Biel",4340,47.1339541,7.2557085,4002038105,4.5,121.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
"Seefeldstrasse 231, 8008 Zürich",4340,47.3515728,8.5610673,4002024967,4.5,121.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
"Dorfstrasse 14, 4206 Seewen SO",4340,47.435012,7.656622998231198,4001978238,4.5,121.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Henri-Mussard, 1208 Genève",4340,46.19796704258514,6.162689956283832,4001977767,4.5,121.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rotwandstrasse 66, 8004 Zürich",4340,47.3758876,8.5294158,4001950380,4.5,121.0,0,0,8,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Rotwandstrasse 66, 8004 Zürich",4340,47.3758876,8.5294158,4001950370,4.5,121.0,0,0,8,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Poststrasse 19, 2504 Biel/Bienne",4340,47.145834431576944,7.271972315313917,4001874968,4.5,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"Maurerweg 12, 2503 Biel",3250,47.1339541,7.2557085,4002039406,5.5,150.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
"Rue du Jura 7, 1196 Gland",3250,46.42413805,6.263368286486378,4001908556,5.5,150.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Baselstrasse 47, 4500 Solothurn",3250,47.2121206,7.5451733,4001899051,5.5,150.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Militärstrasse 106, 8004 Zürich",3250,47.3792981,8.528828562868632,4001886453,5.5,150.0,1,1,3,1,8,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,21
"Place du Bourg-de-Four, 1204 Genève",3250,46.2009088,6.1495952,4002063419,5.5,150.0,3,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11
"Chemin de Bonne-Espérance, 1006 Lausanne",3250,46.5137693,6.64813095,4002061790,5.5,150.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Route des Arsenaux, 1700 Fribourg",3250,46.80234615042749,7.151277144027662,4002059774,5.5,150.0,3,1,3,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,1,0,0,1,1,19
"Maurerweg 12, 2503 Biel",3250,47.1339541,7.2557085,4002038113,5.5,150.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
"Wankdorffeldstrasse 103, 3014 Bern",3250,46.9645669,7.4576422,4002023693,5.5,150.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rue Rousseau, 1201 Genève",5950,46.2071402,6.143698,4001913747,5.5,150.0,8,1,5,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,1,1,24
"Schulstrasse 31, 4132 Muttenz",5950,47.5266272,7.648421209118317,4002077169,5.5,150.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4
"Brombacherstrasse 44, 4057 Basel",2280,47.5698504,7.5973694,4001840033,4.0,81.0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Berneckerstrasse 15/17, 9434 Au SG",2280,47.4124036,9.6253475,4001644316,4.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Baselstrasse 7b, 4144 Arlesheim",2280,47.49603185,7.620555079923935,4002065395,4.0,81.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Flawilerstrasse 48, 9242 Oberuzwil",2280,47.4300118,9.1231916,4002053910,4.0,81.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
"Seestrasse 55, 8266 Steckborn",2280,47.66837765,8.985935925062465,4001797872,4.0,81.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
