address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Seestrasse 623, 8706 Meilen",6700,47.267748350000005,8.642523801279976,4002007176,6.5,170.0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5
"Schlösslistrasse 13, 8044 Zürich",6700,47.385263,8.556671469917257,4001994154,6.5,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Sonneggstr. 41, 8006 Zürich",6700,47.380462,8.545837108916057,4001983883,6.5,170.0,1,1,6,1,0,0,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Hauptstrasse 24, 8114 Dänikon ZH",6700,47.4460003,8.406764497030906,4001972093,6.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
"Siewerdtstrasse 75, 8050 Zürich",2750,47.41222707079166,8.554573319832105,4001964230,2.5,33.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,4
"Passage Perdonnet 1, 1005 Lausanne",2750,46.520913,6.640209787160385,4001963201,2.5,33.0,1,1,5,1,1,1,0,0,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Rotwandstrasse 66, 8004 Zürich",2750,47.3758876,8.5294158,4001961027,2.5,33.0,0,0,11,1,6,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Hinterbergstrasse 106, 8044 Zürich",2750,47.38514105,8.559907746084386,4001869489,2.5,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Kreuzstrasse 3a, 3052 Zollikofen",2750,46.99624139998621,7.46113435005046,4001731221,2.5,33.0,0,0,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,1,12
"Kreuzstrasse 5, 3052 Zollikofen",2750,46.99713015,7.460558053618102,4001731198,2.5,33.0,0,0,3,1,1,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,2,1,11
"Grabenweg 15, 8484 Weisslingen",2750,47.42847146408095,8.769254069734341,4001671881,2.5,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Asylstrasse 14, 8953 Dietikon",2750,47.40164435,8.405244750457825,4001213834,2.5,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
"Nauengasse 14, 8427 Rorbas",2750,47.5326945,8.576552032786482,4002080956,2.5,33.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
6353 Weggis,2750,47.03189628530987,8.433771373374139,4002076708,2.5,33.0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Zollstrasse 14, 8219 Trasadingen",2750,47.66409265,8.433804350000003,4002067496,2.5,33.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Käsereistrasse 2 / 4 / 6, 8919 Rottenschwil",2750,47.31512446067656,8.363178536793532,4002065576,2.5,33.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rue des Epinettes, 1227 Carouge",2750,46.18874213266147,6.137177738468982,4002059679,2.5,33.0,3,1,5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11
"Böndlerstrasse 54, 8802 Kilchberg ZH",3300,47.31596745,8.54880834858756,4002049676,4.5,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Grossfeldstrasse 7, 6010 Kriens",3300,47.0332402,8.283929931561875,4002045481,4.5,170.0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5
"Gmeindrütistrasse 11, 8630 Rüti ZH",3300,47.26159345881681,8.867779674601445,4002028503,4.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"Sonneggstr. 41, 8006 Zürich",3300,47.380462,8.545837108916057,4001983884,4.5,170.0,1,1,6,1,0,0,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Weiherweg 38, 4054 Basel",3300,47.5537867,7.5761886,4001979979,4.5,170.0,0,0,6,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9
"Rotwandstrasse 66, 8004 Zürich",3300,47.3758876,8.5294158,4001950379,4.5,170.0,0,0,11,1,6,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Grabenweg 17, 8484 Weisslingen",3300,47.4296268,8.76936175209196,4001840960,4.5,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
"Motorenstrasse, 8005 Zürich",3300,47.38434396427632,8.528439931722138,4002078840,4.5,170.0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"St. Alban-Anlage 58, 4052 Basel",3300,47.5525328,7.6023191,4002078647,4.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"Seefeldstrasse 104, 8008 Zürich",3300,47.35929725,8.5526727,4002064667,4.5,170.0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Dorfstrasse 31, 5244 Birrhard",3300,47.4331612,8.2458127,4002055225,4.5,170.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dorfstrasse 14, 4206 Seewen SO",3710,47.435012,7.656622998231198,4001978241,8.5,300.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
"Rotwandstrasse 66, 8004 Zürich",3710,47.3758876,8.5294158,4001915132,8.5,300.0,0,0,11,1,6,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Seengerstrasse 28, 5706 Boniswil",3710,47.31804,8.1878031,4001910718,8.5,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"Rotbuchstrasse 9, 8006 Zürich",3710,47.3908252,8.537652620686456,4001886542,8.5,300.0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,5
"Dorfgasse 4, 8708 Männedorf",3710,47.2552406,8.688731842874493,4001867060,8.5,300.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
"Hottingerstrasse 38, 8032 Zürich",3710,47.36939095,8.553576490910046,4002081565,8.5,300.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,7
"Kammermattweg 3, 4107 Ettingen",3710,47.4845896,7.5460237,4002077167,8.5,300.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
"Chemin du Devin 47B, 1012 Lausanne",3710,46.5316201,6.6519271,4002071005,8.5,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5
"Rütistrasse 4, 8032 Zürich",3710,47.3685518,8.56076049670398,4002069592,8.5,300.0,1,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,7
"Reimen 2, 8775 Hätzingen",4340,46.9591892,9.032821053279804,4002059553,4.5,121.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8623 Wetzikon ZH,4340,47.33194777910799,8.815287635054773,4002047825,4.5,121.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
"Aentenschnabel, 8353 Elgg",4340,47.4988302645021,8.863680082276126,4002038535,4.5,121.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Maurerweg 12, 2503 Biel",4340,47.1339541,7.2557085,4002038105,4.5,121.0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8
"Seefeldstrasse 231, 8008 Zürich",4340,47.3515728,8.5610673,4002024967,4.5,121.0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
"Mülhauserstrasse, 4056 Basel",4340,47.56715671323375,7.577037294298449,4002006222,4.5,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"Dorfstrasse 14, 4206 Seewen SO",4340,47.435012,7.656622998231198,4001978238,4.5,121.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
"Eichelwiesenstrasse 4, 8305 Dietlikon",4340,47.4205726,8.620340136638688,4001964391,4.5,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Rotwandstrasse 66, 8004 Zürich",4340,47.3758876,8.5294158,4001950380,4.5,121.0,0,0,11,1,6,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Rotwandstrasse 66, 8004 Zürich",4340,47.3758876,8.5294158,4001950370,4.5,121.0,0,0,11,1,6,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Bildstrasse, 9030 Abtwil SG",4340,47.42004857576465,9.31458970304635,4001933447,4.5,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,3
"Poststrasse 19, 2504 Biel/Bienne",4340,47.145834431576944,7.271972315313917,4001874968,4.5,121.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4
"Birkenstrasse 2, 4144 Arlesheim",4340,47.4970514,7.564314100000001,4002065974,4.5,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Klotenerstrasse 78, 8303 Bassersdorf",4340,47.44498655,8.622518934880409,4002064068,4.5,121.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
3280 Murten,4340,46.92391518978583,7.1162434390444815,4002063200,4.5,121.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rainweg 1B, 4713 Matzendorf",3250,47.307481,7.627894885210045,4002053448,5.5,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4
"Maurerweg 12, 2503 Biel",3250,47.1339541,7.2557085,4002039406,5.5,150.0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8
"Rue du Jura 7, 1196 Gland",3250,46.42413805,6.263368286486378,4001908556,5.5,150.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
