address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Anna-Heer-Strasse 16, 8057 Zürich",7980,47.3995807,8.541604131681714,4002062461,5.5,260.0,1,1,12,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,1,0,0,2,1,0,0,2,1,23
"Anna-Heer-Strasse 14, 8057 Zürich",7980,47.3997054,8.541471626099582,4002062455,5.5,260.0,1,1,13,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,1,0,0,2,1,0,0,2,1,24
"Niklaus Konrad-Strasse 4, 4500 Solothurn",7980,47.20451390210879,7.539104019684887,4002053937,5.5,260.0,15,1,55,1,9,1,5,1,20,1,2,1,0,0,3,1,0,0,0,0,3,1,8,1,11,1,0,0,5,1,136
"Sägestr. 78, 3098 Köniz",7980,46.9234992,7.412723249999999,4002038494,5.5,260.0,5,1,27,1,2,1,1,1,3,1,1,1,0,0,3,1,0,0,0,0,2,1,4,1,7,1,0,0,0,0,55
"Hermann-Lienhardstrasse, 2502 Biel, 2504 Biel",7980,47.15335971802163,7.266918113897638,4002037903,5.5,260.0,4,1,22,1,3,1,0,0,8,1,0,0,0,0,1,1,0,0,1,1,4,1,0,0,6,1,0,0,11,1,60
"Regensdorferstrasse 65, 8049 Zürich",7980,47.4057851,8.491669648527166,4002028608,5.5,260.0,1,1,10,1,0,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,3,1,2,1,2,1,0,0,3,1,27
"Anna-Heer-Strasse 14, 8057 Zürich",7980,47.3997054,8.541471626099582,4002026835,5.5,260.0,1,1,13,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,1,0,0,2,1,0,0,2,1,24
"Anna-Heer-Strasse 16, 8057 Zürich",7980,47.3995807,8.541604131681714,4002026834,5.5,260.0,1,1,12,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,1,0,0,2,1,0,0,2,1,23
"Käferholzstrasse 42, 8057 Zürich",7980,47.4019184,8.531843385657393,4002002445,5.5,260.0,1,1,15,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,23
"Anna-Heer-Strasse 14, 8057 Zürich",7980,47.3997054,8.541471626099582,4001923964,5.5,260.0,1,1,13,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,1,0,0,2,1,0,0,2,1,24
